estimators,max_depth,backend,threads,nodes,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
8,0,ff,1,1,0.993421,0.993082,0.955752,0.947845,37.28488,0.7120208,0.4332624
8,0,ff,2,1,0.993421,0.993082,0.955752,0.947845,21.12404,0.7517988,0.5751068
8,0,ff,4,1,0.993421,0.993082,0.955752,0.947845,11.7103,1.0637756,0.9070767999999999
8,0,ff,8,1,0.993421,0.993082,0.955752,0.947845,6.874546,2.349328,2.2627099999999998
8,0,ff,16,1,0.993421,0.993082,0.955752,0.947845,6.997426,4.785202,4.318538
8,0,ff,32,1,0.993421,0.993082,0.955752,0.947845,7.482746000000001,8.642654,8.176508
8,0,omp,1,1,0.993421,0.993082,0.955752,0.947845,36.87542,0.2174356,0.0363018
8,0,omp,2,1,0.993421,0.993082,0.955752,0.947845,20.09094,0.1573094,0.0297406
8,0,omp,4,1,0.993421,0.993082,0.955752,0.947845,10.64246,0.0989602,0.035386
8,0,omp,8,1,0.993421,0.993082,0.955752,0.947845,5.945788,0.0952838,0.0362956
8,0,omp,16,1,0.993421,0.993082,0.955752,0.947845,6.292248,0.2520316,0.037556400000000004
8,0,omp,32,1,0.993421,0.993082,0.955752,0.947845,8.96374,0.4340022,0.056529399999999994
8,0,seq,1,1,0.993421,0.993082,0.955752,0.947845,36.1886,0.13791219999999998,0.0345862
16,0,ff,1,1,1.0,1.0,0.955752,0.94866,72.0137,0.8482618000000001,0.459008
16,0,ff,2,1,1.0,1.0,0.955752,0.94866,41.04318,0.7561686,0.5785084
16,0,ff,4,1,1.0,1.0,0.955752,0.94866,23.44248,1.0315332,0.9257828
16,0,ff,8,1,1.0,1.0,0.955752,0.94866,12.18766,2.007728,2.035176
16,0,ff,16,1,1.0,1.0,0.955752,0.94866,7.908410000000001,4.799594,4.745844
16,0,ff,32,1,1.0,1.0,0.955752,0.94866,9.007764,10.082418,8.869826
16,0,omp,1,1,1.0,1.0,0.955752,0.94866,71.8179,0.2520932,0.0559894
16,0,omp,2,1,1.0,1.0,0.955752,0.94866,37.94752,0.16939880000000002,0.048782
16,0,omp,4,1,1.0,1.0,0.955752,0.94866,19.8824,0.1321312,0.049825799999999996
16,0,omp,8,1,1.0,1.0,0.955752,0.94866,11.03086,0.11548860000000001,0.0412608
16,0,omp,16,1,1.0,1.0,0.955752,0.94866,6.821118,0.1131446,0.0427354
16,0,omp,32,1,1.0,1.0,0.955752,0.94866,9.49493,1.399808,0.0617904
16,0,seq,1,1,1.0,1.0,0.955752,0.94866,70.81092,0.2447708,0.0526954
32,0,ff,1,1,1.0,1.0,0.964602,0.9586080000000001,141.9972,1.0376756,0.5680056
32,0,ff,2,1,1.0,1.0,0.964602,0.9586080000000001,78.57538,0.8631686000000001,0.5426772
32,0,ff,4,1,1.0,1.0,0.964602,0.9586080000000001,44.386340000000004,1.118062,0.9029222000000001
32,0,ff,8,1,1.0,1.0,0.964602,0.9586080000000001,28.56336,2.479988,2.004946
32,0,ff,16,1,1.0,1.0,0.964602,0.9586080000000001,14.48364,4.958133999999999,4.327122
32,0,ff,32,1,1.0,1.0,0.964602,0.9586080000000001,12.180060000000001,11.02448,9.577746000000001
32,0,mpi,16,2,1.0,1.0,0.955752,0.94866,7.171072,10.72414,0.0639782
32,0,mpi,16,4,0.993421,0.993082,0.955752,0.947845,6.775982000000001,10.729872,0.0478504
32,0,mpi,16,6,0.995614,0.995402,0.955752,0.94866,6.384323999999999,12.382795999999999,0.445674
32,0,mpi,16,8,0.9912279999999999,0.990747,0.938053,0.9281240000000001,6.469704,7.887264,0.0680278
32,0,mpi,32,2,1.0,1.0,0.955752,0.94866,10.148528,13.096119999999999,0.7089663999999999
32,0,mpi,32,4,0.993421,0.993082,0.955752,0.947845,9.315804,14.324360000000002,0.0668084
32,0,mpi,32,6,0.995614,0.995402,0.955752,0.94866,9.213784,23.51318,6.010872000000001
32,0,mpi,32,8,0.9912279999999999,0.990747,0.938053,0.9281240000000001,8.91802,15.05976,1.0185274
32,0,omp,1,1,1.0,1.0,0.964602,0.9586080000000001,141.8202,0.42120119999999994,0.1018272
32,0,omp,2,1,1.0,1.0,0.964602,0.9586080000000001,74.85358,0.2599544,0.067742
32,0,omp,4,1,1.0,1.0,0.964602,0.9586080000000001,40.3543,0.2039158,0.0642528
32,0,omp,8,1,1.0,1.0,0.964602,0.9586080000000001,21.31552,0.1584268,0.058482599999999996
32,0,omp,16,1,1.0,1.0,0.964602,0.9586080000000001,12.2917,0.1326214,0.054295800000000005
32,0,omp,32,1,1.0,1.0,0.964602,0.9586080000000001,10.78262,0.1682468,0.0712304
32,0,seq,1,1,1.0,1.0,0.964602,0.9586080000000001,140.881,0.4080534,0.0972526
64,0,ff,1,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,277.8152,1.430844,0.6876947999999999
64,0,ff,2,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,151.7862,1.1342560000000002,0.609858
64,0,ff,4,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,85.67963999999999,1.211138,0.9432644
64,0,ff,8,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,61.20757999999999,2.3777719999999998,2.0022860000000002
64,0,ff,16,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,39.41708,4.969334,4.412124
64,0,ff,32,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,21.12556,11.12218,9.884814
64,0,mpi,16,2,1.0,1.0,0.964602,0.9586080000000001,12.94266,11.13034,0.0584186
64,0,mpi,16,4,1.0,1.0,0.955752,0.94866,7.893956,12.16768,0.05593240000000001
64,0,mpi,16,6,0.993421,0.993082,0.946903,0.936895,6.825360000000001,13.91786,0.46852799999999994
64,0,mpi,16,8,0.993421,0.993082,0.955752,0.947845,6.793406,10.680196,0.051431000000000004
64,0,mpi,32,2,1.0,1.0,0.964602,0.9586080000000001,12.947460000000001,12.18292,0.1259582
64,0,mpi,32,4,1.0,1.0,0.955752,0.94866,9.774924,14.0378,0.0733762
64,0,mpi,32,6,0.993421,0.993082,0.946903,0.936895,9.48738,25.899559999999997,3.1843868
64,0,mpi,32,8,0.993421,0.993082,0.955752,0.947845,9.331095999999999,15.18692,0.1528518
64,0,omp,1,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,273.36019999999996,0.7755954,0.1830414
64,0,omp,2,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,145.0432,0.47790920000000003,0.108308
64,0,omp,4,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,75.30416,0.3528326,0.0907666
64,0,omp,8,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,40.78644,0.2194314,0.0740952
64,0,omp,16,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,22.06998,0.204692,0.0751788
64,0,omp,32,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,17.99092,0.20882459999999997,0.0885982
64,0,seq,1,1,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,272.194,0.7351759999999999,0.170106
128,0,ff,1,1,1.0,1.0,0.964602,0.9586080000000001,566.3646,2.262616,0.9700404
128,0,ff,2,1,1.0,1.0,0.964602,0.9586080000000001,323.43760000000003,1.576276,0.8139900000000001
128,0,ff,4,1,1.0,1.0,0.964602,0.9586080000000001,165.952,1.537682,1.0472984
128,0,ff,8,1,1.0,1.0,0.964602,0.9586080000000001,98.60348,2.6048780000000002,2.128976
128,0,ff,16,1,1.0,1.0,0.964602,0.9586080000000001,66.96835999999999,4.975132,4.444827999999999
128,0,ff,32,1,1.0,1.0,0.964602,0.9586080000000001,52.51204,11.35866,9.112592000000001
128,0,mpi,16,2,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,22.65702,11.0016,0.110531
128,0,mpi,16,4,1.0,1.0,0.964602,0.9586080000000001,12.65672,13.01154,0.06530620000000001
128,0,mpi,16,6,1.0,1.0,0.955752,0.94866,11.30886,23.4615,0.4731062
128,0,mpi,16,8,1.0,1.0,0.955752,0.94866,7.562322,12.55064,0.049230800000000005
128,0,mpi,32,2,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,17.4969,12.59564,0.1171458
128,0,mpi,32,4,1.0,1.0,0.964602,0.9586080000000001,10.772780000000001,14.606440000000001,0.07898720000000001
128,0,mpi,32,6,1.0,1.0,0.955752,0.94866,10.272994,23.75058,6.844806
128,0,mpi,32,8,1.0,1.0,0.955752,0.94866,9.937254,15.50764,0.6009034
128,0,omp,1,1,1.0,1.0,0.964602,0.9586080000000001,556.3489999999999,1.492916,0.3650862
128,0,omp,2,1,1.0,1.0,0.964602,0.9586080000000001,290.848,0.8491862000000001,0.2100258
128,0,omp,4,1,1.0,1.0,0.964602,0.9586080000000001,149.736,0.5657972,0.1496266
128,0,omp,8,1,1.0,1.0,0.964602,0.9586080000000001,78.81026,0.4019168000000001,0.1243564
128,0,omp,16,1,1.0,1.0,0.964602,0.9586080000000001,42.44784,0.2850606,0.10432680000000001
128,0,omp,32,1,1.0,1.0,0.964602,0.9586080000000001,31.4198,0.2977606,0.1208868
128,0,seq,1,1,1.0,1.0,0.964602,0.9586080000000001,556.1232,1.423848,0.3417088
256,0,ff,1,1,1.0,1.0,0.964602,0.9586080000000001,1118.98,3.8695280000000003,1.381038
256,0,ff,2,1,1.0,1.0,0.964602,0.9586080000000001,644.3154000000001,2.48531,1.0006128
256,0,ff,4,1,1.0,1.0,0.964602,0.9586080000000001,381.33820000000003,1.89912,1.118304
256,0,ff,8,1,1.0,1.0,0.964602,0.9586080000000001,239.7748,2.738462,2.357214
256,0,ff,16,1,1.0,1.0,0.964602,0.9586080000000001,139.12359999999998,5.6590180000000005,5.140518
256,0,ff,32,1,1.0,1.0,0.964602,0.9586080000000001,109.49679999999998,10.815479999999999,9.510494
256,0,mpi,16,2,1.0,1.0,0.964602,0.9586080000000001,42.78596,11.256,0.176668
256,0,mpi,16,4,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,22.275560000000002,12.50058,0.10460320000000001
256,0,mpi,16,6,1.0,1.0,0.964602,0.9586080000000001,16.25524,23.56332,0.4747826
256,0,mpi,16,8,1.0,1.0,0.964602,0.9586080000000001,13.97628,12.5021,0.0721898
256,0,mpi,32,2,1.0,1.0,0.964602,0.9586080000000001,31.9649,12.17158,0.2202464
256,0,mpi,32,4,0.9978070000000001,0.9976939999999999,0.964602,0.9586080000000001,17.7578,14.001619999999999,0.09893779999999999
256,0,mpi,32,6,1.0,1.0,0.964602,0.9586080000000001,16.55116,22.62584,3.9204982
256,0,mpi,32,8,1.0,1.0,0.964602,0.9586080000000001,11.11284,13.467759999999998,1.6494149999999999
256,0,omp,1,1,1.0,1.0,0.964602,0.9586080000000001,1121.55,2.904654,0.7019650000000001
256,0,omp,2,1,1.0,1.0,0.964602,0.9586080000000001,580.1114,1.5855460000000001,0.40355100000000005
256,0,omp,4,1,1.0,1.0,0.964602,0.9586080000000001,296.6598,1.0116324,0.2764716
256,0,omp,8,1,1.0,1.0,0.964602,0.9586080000000001,154.2936,0.674453,0.1792048
256,0,omp,16,1,1.0,1.0,0.964602,0.9586080000000001,79.72082,0.49475179999999996,0.1634488
256,0,omp,32,1,1.0,1.0,0.964602,0.9586080000000001,57.46736,0.9318874000000001,0.1795652
256,0,seq,1,1,1.0,1.0,0.964602,0.9586080000000001,1109.176,2.744276,0.6549944
